question|correctAnswer|wrongAnswer1|wrongAnswer2|wrongAnswer3|type|res|resType|
¿Qué baila esta pareja madrileña?|Chotis|Vals|Jota|Sevillanas|G|chotis|I|
¿De quién es la siguiente obra?|Bach|Chopin|Schubert|Mozart|G|bach|S|
¿Qué está tocando?|Saxofón|Trompeta|Corneta|Flauta|I|saxo|I|
¿A qué familia pertenece el triángulo?|Percusión|Viento Madera|Viento Metal|Cuerda|I|
¿A qué familia pertenece el piano?|Cuerda|Viento Madera|Percusión|Viento Metal|I|
¿Qué instrumento ves en la siguiente imagen?|Maracas|Claves|Pandereta|Flauta|I|maracas|I|
¿Quién compuso Las cuatro estaciones?|Vivaldi|Mozart|Beethoven|Bach|C|
¿A qué género pertenece la siguiente melodía?|Jazz|Blues|Rock|Bachata|G|jazz|S|
Identifica el instrumento del siguiente audio.|Guitarra eléctrica|Guitarra|Bajo|Bandurria|I|guitar|S|
¿Por qué género es famoso Carlos Cano?|Fado|Flamenco|Balada|Rock|G|
